elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high	event_max	event_oom	event_oom_kill	swap_event_max	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
94.4	76553572352	44582920192	3637248	0	3313664	49942016000	51804401664	88046829568	83751862272	33809846272	7024017408	42615476224	38391742464	114688	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	28	0
95.4	77533130752	44583510016	3702784	0	3313664	48459800576	51804401664	88046829568	83751862272	35292061696	5517656064	42615648256	38391742464	167936	0	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	29	0
96.4	77931900928	43212800000	3715072	0	3313664	47198842880	51804401664	88046829568	83751862272	36553019392	5653663744	41248178176	37000364032	167936	0	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	29	0
97.4	76073058304	44583899136	2093056	0	3313664	50139197440	51804401664	88046829568	83751862272	33612664832	7219671040	42615988224	38370615296	167936	0	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	29	0
98.5	79610834944	41074749440	2453504	0	3313664	42990305280	51804401664	88046829568	83751862272	40761556992	3601555456	39107948544	34883502080	225280	0	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	30	0
99.5	76195364864	44583215104	2408448	0	3313664	49942573056	51804401664	88046829568	83751862272	33809289216	7024222208	42615840768	38391742464	225280	0	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	30	0
100.5	75695230976	46395596800	615350272	8388608	3313664	51803996160	51804401664	88046829568	83751862272	31947866112	7024226304	44427902976	38391742464	612593664	8388608	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	30	0
101.5	77972684800	42815848448	3608576	0	3313664	46404435968	51804401664	88046829568	83751862272	37347426304	5259419648	40852439040	36605792256	278528	0	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	31	0
102.5	74977685504	44583706624	3346432	0	3313664	50955837440	51804401664	88046829568	83751862272	32796024832	8034086912	42616352768	38370615296	278528	0	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	31	0
103.6	79619969024	41037815808	3452928	0	3313664	42946060288	51805405184	88046829568	83751862272	40805801984	3601768448	39055781888	38010347520	335872	0	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	32	0
104.6	76270899200	44536807424	3457024	0	3313664	49828786176	51805405184	88046829568	83751862272	33923076096	6966775808	42559311872	38334169088	335872	0	0	4294967296	0	0	0	0	0	0.0	40	0	0	2	32	0
105.6	75702251520	46410182656	1384038400	12582912	3313664	51804078080	51805405184	88046829568	83751862272	31947784192	7024435200	44428181504	38391742464	1376067584	8388608	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	32	0
106.6	78302904320	42503913472	4661248	0	3313664	45746462720	51805405184	88046829568	83751862272	38005399552	4930654208	40525156352	36276826112	389120	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	33	0
107.6	75209183232	44598964224	4669440	0	3313664	50905419776	51805405184	88046829568	83751862272	32846442496	7983710208	42616717312	38370615296	389120	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	33	0
108.6	79940288512	41038454784	4718592	0	3313664	42947076096	51805405184	88046829568	83751862272	40804786176	3601973248	39055749120	38400761856	446464	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	34	0
