elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high_delta	event_max_delta	event_oom_delta	event_oom_kill_delta	swap_event_max_delta	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
109.6	109511196672	7480139776	3760128	0	0	14493601792	22386843648	107374182400	103079215104	92880580608	8270569472	6073073664	1852641280	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	16	0
110.6	106965409792	9660907520	3760128	0	0	19405860864	22386843648	107374182400	103079215104	87968321536	10990034944	8251785216	4032368640	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	16	0
111.6	106806591488	12743720960	3084476416	0	0	22033825792	22386843648	107374182400	103079215104	85340356608	10450612224	11334598656	4032368640	3082821632	0	0	0	0	0	0	0	0	0.0	0	0	0	2	16	0
112.6	106289045504	11183448064	1526288384	0	0	20432715776	22386843648	107374182400	103079215104	86941466624	10450612224	9776414720	4032368640	1522540544	0	0	0	0	0	0	0	0	0.0	0	0	0	2	17	0
113.6	109067612160	7472316416	3776512	0	0	14481444864	22386843648	107374182400	103079215104	92892737536	8263237632	6066835456	1823862784	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	17	0
114.6	106702999552	9661362176	4390912	0	0	19504009216	22386843648	107374182400	103079215104	87870173184	11087831040	8252125184	4011241472	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	17	0
115.7	106912468992	12974874624	3315814400	0	0	22270873600	22386843648	107374182400	103079215104	85103308800	10450714624	11565625344	4011241472	3313508352	0	0	0	0	0	0	0	0	0.0	0	0	0	2	17	0
116.7	106910429184	11286667264	1627607040	0	0	20536594432	22386843648	107374182400	103079215104	86837587968	10450714624	9877417984	4011241472	1623203840	0	0	0	0	0	0	0	0	0.0	0	0	0	2	18	0
117.7	110115471360	7393480704	4390912	0	0	14323113984	22386843648	107374182400	103079215104	93051068416	8184975360	5988696064	1766793216	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	18	0
118.7	107495116800	9660694528	4399104	0	0	19326365696	22386843648	107374182400	103079215104	88047816704	10910445568	8251793408	4032368640	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	18	0
119.7	107475009536	12484022272	2825203712	0	0	21766725632	22386843648	107374182400	103079215104	85607456768	10450833408	11074560000	4032368640	2822774784	0	0	0	0	0	0	0	0	0.0	0	0	0	2	18	0
120.7	106982449152	11003432960	1346711552	0	0	20247916544	22386843648	107374182400	103079215104	87126265856	10450833408	9596067840	4032368640	1342185472	0	0	0	0	0	0	0	0	0.0	0	0	0	2	19	0
121.7	110263414784	7289073664	4493312	0	0	14113398784	22386843648	107374182400	103079215104	93260783616	8080326656	5882404864	1640796160	0	0	0	0	0	0	0	0	0	0.0	0	0	0	2	19	0
122.8	107596492800	9661452288	4509696	0	0	19149512704	22386843648	107374182400	103079215104	88224669696	10732838912	8252133376	4011241472	0	0	0	0	0	0	0	0	0	0.0	0	0	0	2	19	0
123.8	107399155712	12186574848	2529484800	0	0	21464231936	22386843648	107374182400	103079215104	85909950464	10450935808	10779201536	4011241472	2524971008	0	0	0	0	0	0	0	0	0.0	0	0	0	2	19	0
124.8	107008991232	10450132992	790990848	0	0	19677839360	22386843648	107374182400	103079215104	87696343040	10450935808	9040662528	4011241472	788533248	0	0	0	0	0	0	0	0	0.0	0	0	0	2	20	0
125.8	109240676352	7097925632	6590464	0	0	13708283904	22386843648	107374182400	103079215104	93665898496	7879618560	5681156096	1461096448	4096	0	0	0	0	0	0	0	0	0.0	0	0	0	2	20	0
126.8	106684760064	9671565312	7593984	0	0	18864492544	22386843648	107374182400	103079215104	88509689856	10451030016	8251801600	4032368640	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	20	0
127.8	106269081600	10862768128	1202085888	0	0	20098904064	22386843648	107374182400	103079215104	87275278336	10451038208	9453469696	4032368640	1199579136	0	0	0	0	0	0	0	0	0.0	0	0	0	2	20	0
128.8	105808842752	9665294336	4616192	0	0	18870317056	22386843648	107374182400	103079215104	88503865344	10451038208	8255995904	4032368640	4202496	0	0	0	0	0	0	0	0	0.0	0	0	0	2	21	0
129.9	109422878720	6799933440	3608576	0	0	13130784768	22386843648	107374182400	103079215104	94243397632	7590572032	5393653760	1150844928	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	21	0
